Indigo Taxonomy ID,Indigo Taxonomy,Google Taxonomy,
828850-528231-528253,Books > Art and Architecture > Architecture,Media > Books > Non-Fiction > Architecture Books,
828850-528231-528253-529637,Books > Art and Architecture > Architecture > Architectural Photography,Media > Books > Non-Fiction > Architecture Books,
828850-528231-528253-529638,Books > Art and Architecture > Architecture > Decoration and Ornament,Media > Books > Non-Fiction > Architecture Books,
828850-528231-528253-529639,Books > Art and Architecture > Architecture > Design and Drafting,Media > Books > Non-Fiction > Architecture Books,
828850-528231-528253-529640,Books > Art and Architecture > Architecture > History,Media > Books > Non-Fiction > Architecture Books,
828850-528231-528253-529641,Books > Art and Architecture > Architecture > Individual Architect,Media > Books > Non-Fiction > Architecture Books,
828850-528231-528253-529642,Books > Art and Architecture > Architecture > Interior Design,Media > Books > Non-Fiction > Architecture Books,
828850-528231-528253-529643,Books > Art and Architecture > Architecture > Landscape,Media > Books > Non-Fiction > Architecture Books,
828850-528231-528253-529644,Books > Art and Architecture > Architecture > Methods and Materials,Media > Books > Non-Fiction > Architecture Books,
828850-528231-528253-529645,Books > Art and Architecture > Architecture > Planning,Media > Books > Non-Fiction > Architecture Books,
828850-528231-528253-529646,Books > Art and Architecture > Architecture > Public__ Commerical__ or Industrial Buildings,Media > Books > Non-Fiction > Architecture Books,
828850-528231-528253-529647,Books > Art and Architecture > Architecture > Reference,Media > Books > Non-Fiction > Architecture Books,
828850-528231-528254,Books > Art and Architecture > Art History,Media > Books > Non-Fiction > Art Books,
828850-528231-528254-529648,Books > Art and Architecture > Art History > African,Media > Books > Non-Fiction > Art Books,
828850-528231-528254-529649,Books > Art and Architecture > Art History > American,Media > Books > Non-Fiction > Art Books,
828850-528231-528254-529650,Books > Art and Architecture > Art History > Asian,Media > Books > Non-Fiction > Art Books,
828850-528231-528254-529651,Books > Art and Architecture > Art History > Conceptual,Media > Books > Non-Fiction > Art Books,
828850-528231-528254-529652,Books > Art and Architecture > Art History > European,Media > Books > Non-Fiction > Art Books,
828850-528231-528254-529653,Books > Art and Architecture > Art History > Religious,Media > Books > Non-Fiction > Art Books,
828850-528231-528255,Books > Art and Architecture > Art Technique,Media > Books > Non-Fiction > Art Books,
828850-528231-528255-529654,Books > Art and Architecture > Art Technique > Acrylic Painting,Media > Books > Non-Fiction > Art Books,
828850-528231-528255-529655,Books > Art and Architecture > Art Technique > Airbrush,Media > Books > Non-Fiction > Art Books,
828850-528231-528255-529656,Books > Art and Architecture > Art Technique > Calligraphy,Media > Books > Non-Fiction > Art Books,
828850-528231-528255-529657,Books > Art and Architecture > Art Technique > Cartooning,Media > Books > Non-Fiction > Art Books,
828850-528231-528255-529658,Books > Art and Architecture > Art Technique > Drawing,Media > Books > Non-Fiction > Art Books,
828850-528231-528255-529659,Books > Art and Architecture > Art Technique > Mixed-Media,Media > Books > Non-Fiction > Art Books,
828850-528231-528255-529660,Books > Art and Architecture > Art Technique > Oil Painting,Media > Books > Non-Fiction > Art Books,
828850-528231-528255-529661,Books > Art and Architecture > Art Technique > Painting,Media > Books > Non-Fiction > Art Books,
828850-528231-528255-529662,Books > Art and Architecture > Art Technique > Pastel,Media > Books > Non-Fiction > Art Books,
828850-528231-528255-529663,Books > Art and Architecture > Art Technique > Pen and Ink,Media > Books > Non-Fiction > Art Books,
828850-528231-528255-529664,Books > Art and Architecture > Art Technique > Pencil,Media > Books > Non-Fiction > Art Books,
828850-528231-528255-529665,Books > Art and Architecture > Art Technique > Printmaking,Media > Books > Non-Fiction > Art Books,
828850-528231-528255-529666,Books > Art and Architecture > Art Technique > Sculpture,Media > Books > Non-Fiction > Art Books,
